"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=0000g&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sat Nov 25 2023 16:34:47 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Illinois : nuclear","thousand megawatthours","ELEC.GEN.NUC-IL-99.M",8238,7217,8158,7117,7925,7900,7953,7601,7211,7557,7536,7946,7268,6836,7464,6616,7425,7935,7964,8198,7616,7553,7607,8378,8139,7211,8526,7661,8115,7728,8357,8547,7933,7682,7010,7824,7705,6751,7504,7718,7862,7986,8169,8117,7800,7609,6890,7937,8374,6737,6646,7218,7949,7997,8362,8385,7520,8076,7450,8549,8144,6633,7632,7333,7992,8251,8416,8369,7665,7634,7547,8536,8608,7606,8017,7390,7863,8077,8492,8377,8084,7029,7740,8447,7594,7031,7711,7557,8070,8261,8502,8487,8016,7872,7891,8161,8271,7471,8522,7493,7762,8224,8376,8267,7626,7242,7666,8553,8080,7034,8089,7588,8370,8263,8477,7937,8209,7718,7710,8715,8705,7125,7970,7294,7507,7980,8419,8492,7983,8042,8187,8119,8731,7511,7902,7513,7994,8248,8175,8404,7557,7923,7794,8650,8695,7387,8062,6840,8635,8300,8471,8604,7673,7893,8014,8557,8768,7418,7931,7394,7688,8464,8692,8326,8365,7745,8196,8871,8654,7107,7547,7789,8213,8405,8675,8429,7816,8013,7922,8713,8835,7822,7941,7899,7887,8137,8625,8603,8037,7758,8203,8860,8781,7041,7578,7920,7561,8046,8613,8517,8209,8032,8194,8700,8852,7637,7972,7658,8083,8316,8632,8579,7589,7805,8124,8855,8795,7641,8187,7864,8649,8451,8594,8351,7748,7570,8269,8615,8735,7725,8127,7809,8564,8396,8586,8524,8361,8128,8414,8878,8801,7735,7491,7370,8563,8349,8645,8589,7683,6990,7895,8883,8657,7705,8018,7443,8383,8379,8452,8642,8169,8060,8109,8853,8839,7321,7752,7668,7758,8404,8626,8552
"Illinois : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-IL-99.M",13,11,13,14,12,12,13,12,11,11,12,13,11,9,12,11,11,12,12,12,10,9,10,12,12,11,11,10,10,11,12,13,12,12,11,13,9,9,13,13,16,18,18,16,10,8,12,12,14,13,14,12,10,11,11,10,10,7,8,8,15,13,13,15,17,16,17,17,13,12,13,13,13,9,14,17,13,14,13,17,14,10,8,12,12,12,13,13,13,13,10,10,14,9,7,11,10,11,13,15,13,13,11,11,9,10,10,10,6,5,7,10,14,18,16,16,10,5,6,7,7,10,13,14,12,16,10,16,11,9,11,11,8,11,10,13,11,10,10,6,7,8,9,8,7,11,12,11,12,14,12,8,8,7,10,8,9,9,14,13,15,14,13,10,10,10,8,7,8,6,9,10,13,14,14,12,9,6,10,13,14,11,14,11,11,12,12,9,7,10,11,10,12,12,13,9,9,10,11,11,9,9,11,10,11,9,10,12,14,12,12,12,13,13,14,13,11,8,10,10,8,9,12,13,10,10,11,12,11,11,12,12,15,13,14,11,10,8,8,10,12,9,11,12,11,11,11,12,9,10,10,11,9,7,11,10,12,12,11,11,8,7,9,9,10,"NM","NM",7,"NM",7,"NM",9
"Illinois : other renewables","thousand megawatthours","ELEC.GEN.AOR-IL-99.M",59,48,54,50,56,60,64,63,56,55,55,57,53,45,62,60,62,67,77,79,69,50,49,51,78,69,69,64,67,62,66,74,70,65,67,68,62,63,70,71,72,67,67,67,67,71,71,75,57,52,61,62,65,61,61,60,59,61,67,119,71,66,77,68,68,63,64,62,63,79,80,86,71,64,73,101,122,96,84,85,120,171,142,155,294,244,235,287,271,221,142,132,156,290,357,404,320,355,315,351,263,197,156,204,149,327,406,485,415,295,462,556,455,280,263,256,436,567,667,486,463,643,621,778,589,472,298,288,463,564,960,725,942,660,920,834,693,634,376,334,499,824,654,1004,1242,934,1059,1130,824,649,456,369,568,798,1268,987,1373,900,1125,1159,932,682,561,413,502,879,1320,854,1035,968,1041,1126,945,565,453,499,679,1219,1426,1367,1315,1190,1144,1072,903,637,451,365,725,992,1139,1247,1184,1323,1368,1350,1149,999,520,457,568,1222,1302,1352,1575,1236,1327,1139,905,657,608,611,717,1213,1103,1301,1511,1344,1534,1664,1177,1076,715,603,937,1330,1276,1768,1401,1570,1711,1698,1377,1094,661,584,1108,1581,2196,1715,1633,1731,2260,1865,1665,1172,796,909,1542,1642,2354,2443,2431,2444,2479,2765,2448,1567,1297,1205,1398,2339,2727,2225,2032,2515,2718,2478,1938,1555,1102,1396
"Illinois : wind","thousand megawatthours","ELEC.GEN.WND-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",2,1,1,1,1,1,2,2,1,1,1,2,0,3,8,10,9,5,3,4,5,9,9,13,6,7,10,10,9,5,3,2,5,7,12,65,19,18,23,29,21,14,13,10,15,28,28,36,28,21,28,51,64,40,26,26,66,106,95,112,240,189,201,226,208,160,82,69,93,229,298,342,252,302,264,306,204,148,97,147,101,259,329,411,357,242,402,503,392,218,205,196,373,524,609,432,407,598,567,723,538,423,239,224,402,512,908,672,880,613,869,782,641,565,320,277,443,771,608,958,1185,880,999,1077,766,594,413,323,511,739,1209,929,1313,849,1069,1097,873,621,498,351,458,842,1285,829,1004,936,1000,1073,890,518,400,444,628,1167,1372,1316,1268,1144,1096,1026,854,591,400,331,693,960,1095,1205,1139,1281,1321,1306,1100,953,477,413,526,1181,1261,1309,1531,1198,1284,1096,859,616,566,571,679,1172,1065,1262,1471,1308,1491,1623,1134,1034,673,562,900,1293,1242,1729,1364,1535,1672,1657,1336,1054,621,543,1070,1542,2159,1673,1590,1690,2206,1806,1601,1104,706,804,1434,1565,2266,2360,2336,2341,2344,2628,2280,1376,1101,978,1197,2159,2605,2150,1939,2379,2558,2267,1690,1306,862,1174
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,4,4,3,3,3,2,2,2,3,4,4,4,5,5,5,5,6,5,5,2,2,4,4,5,6,5,5,5,5,4,3,2,3,4,5,5,5,5,5,4,4,3,3,2,4,3,4,5,5,5,5,5,4,4,3,2,4,4,4,6,7,6,6,6,3,3,3,3,3,6,7,7,7,8,7,6,5,3,3,3,3,6,6,6,7,8,7,6,5,3,3,2,4,4,6,7,9,9,10,8,6,6,8,7,12,23,29,32,37,59,76,78,48,62,52,67,75,104,112,143,168,173,207,180,159,103,58,67,113,135,189,224,226,216,198
"Illinois : utility-scale photovoltaic","thousand megawatthours","ELEC.GEN.SPV-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,0,0,1,1,2,2,2,2,2,2,1,1,2,3,4,4,4,5,5,5,5,6,5,5,2,2,4,4,5,6,5,5,5,5,4,3,2,3,4,5,5,5,5,5,4,4,3,3,2,4,3,4,5,5,5,5,5,4,4,3,2,4,4,4,6,7,6,6,6,3,3,3,3,3,6,7,7,7,8,7,6,5,3,3,3,3,6,6,6,7,8,7,6,5,3,3,2,4,4,6,7,9,9,10,8,6,6,8,7,12,23,29,32,37,59,76,78,48,62,52,67,75,104,112,143,168,173,207,180,159,103,58,67,113,135,189,224,226,216,198
"Illinois : utility-scale thermal","thousand megawatthours","ELEC.GEN.STH-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,1,1,2,2,2,2,2,2,1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : geothermal","thousand megawatthours","ELEC.GEN.GEO-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : biomass","thousand megawatthours","ELEC.GEN.BIO-IL-99.M",59,48,54,50,56,60,64,63,56,55,55,57,53,45,62,60,62,67,77,79,69,50,49,51,77,68,68,63,65,60,64,72,69,64,66,66,61,60,62,61,62,63,63,63,62,62,62,62,50,45,51,51,56,55,58,57,54,54,56,54,52,48,53,39,48,49,52,52,48,51,52,51,44,43,45,50,58,56,58,59,54,65,46,43,54,55,34,62,63,61,60,63,63,62,59,61,68,54,51,45,58,49,59,57,48,68,77,74,58,52,59,52,62,60,56,58,61,42,57,54,56,44,53,53,49,47,58,62,61,52,51,52,62,46,49,49,49,65,52,54,53,49,43,44,55,51,56,49,54,50,38,40,52,54,55,54,58,50,52,57,54,55,58,57,39,32,31,23,29,29,36,49,50,42,49,50,47,48,50,48,44,42,45,42,44,41,46,28,27,28,39,40,43,39,43,40,43,39,37,38,36,38,37,40,41,35,36,36,38,33,34,33,32,36,35,36,37,33,38,35,37,34,34,34,31,32,31,36,35,31,35,34,33,31,31,30,30,33,32,34,35,30,32,30,32,30,31,29,29,29,27,31,29,28,31,25,25,23,23,20,21,21,20,17,25,22,25,22,25,23,24,24
"Illinois : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Illinois : other biomass","thousand megawatthours","ELEC.GEN.WAS-IL-99.M",59,48,54,50,56,60,64,63,56,55,55,57,53,45,62,60,62,67,77,79,69,50,49,51,77,68,68,63,65,60,64,72,69,64,66,66,61,60,62,61,62,63,63,63,62,62,62,62,50,45,51,51,56,55,58,57,54,54,56,54,52,48,53,39,48,49,52,52,48,51,52,51,44,43,45,50,58,56,58,59,54,65,46,43,54,55,34,62,63,61,60,63,63,62,59,61,68,54,51,45,58,49,59,57,48,68,77,74,58,52,59,52,62,60,56,58,61,42,57,54,56,44,53,53,49,47,58,62,60,52,51,52,62,46,49,49,49,65,52,54,53,49,43,44,55,51,56,49,54,50,38,40,52,54,55,54,58,50,52,57,54,55,58,57,39,32,31,23,29,29,36,49,50,42,49,50,47,48,50,48,44,42,45,42,44,41,46,28,27,28,39,40,43,39,43,40,43,39,37,38,36,38,37,40,41,35,36,36,38,33,34,33,32,36,35,36,37,33,38,35,37,34,34,34,31,32,31,36,35,31,35,34,33,31,31,30,30,33,32,34,35,30,32,30,32,30,31,29,29,29,27,31,29,28,31,25,25,23,23,20,21,21,20,17,25,22,25,22,25,23,24,24
"Illinois : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois : other","thousand megawatthours","ELEC.GEN.OTH-IL-99.M",8,3,3,3,4,4,4,4,4,4,4,5,0,13,11,15,13,13,8,11,10,10,8,12,14,10,9,9,17,12,14,17,10,16,14,13,8,6,13,8,10,13,12,12,12,15,9,14,11,6,3,4,3,2,2,2,2,2,2,2,3,3,4,3,3,2,3,4,3,4,3,3,3,1,2,1,2,1,2,2,2,2,2,1,0,2,2,4,7,8,5,5,3,5,4,5,2,3,3,3,5,8,6,8,7,8,5,3,3,5,5,5,3,44,43,40,31,31,46,43,33,18,28,24,14,24,38,27,22,20,26,27,26,32,29,20,31,28,31,26,16,22,21,19,24,20,21,19,23,23,25,26,27,20,29,29,24,22,26,22,25,26,26,27,25,8,25,26,23,17,20,21,25,25,27,26,24,21,19,-0,22,22,23,24,25,24,23,24,22,21,23,21,21,13,24,23,6,23,24,25,24,22,24,25,22,20,23,14,23,21,21,24,1,11,21,24,23,21,18,18,23,24,23,24,24,19,-0,21,21,19,21,20,22,21,21,22,22,17,20,22,22,16,22,21,22,21,22,22,21,11,23,22,18,20,23,24,25,25,22,23,23,18,22,20,22,21,24,22,24,23,23,23
"Illinois : all solar","thousand megawatthours","ELEC.GEN.TSN-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",3,4,6,6,7,8,7,8,7,6,5,4,4,5,7,7,8,8,8,8,7,6,5,4,4,6,7,7,9,9,10,9,8,7,6,5,4,7,8,8,11,13,13,13,12,9,7,6,7,8,14,15,17,18,19,18,16,13,9,8,9,12,18,21,23,26,30,29,27,23,17,16,16,24,34,41,48,53,58,58,53,45,37,38,41,57,95,112,125,139,166,181,168,118,123,112,121,146,210,230,277,309,320,336,304,257,167,118,131,208,265,340,394,397,393,373
"Illinois : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,2,2,2,2,2,2,2,2,1,1,1,2,2,3,3,3,3,3,3,2,2,1,2,2,3,3,4,4,4,4,4,3,2,2,2,3,4,5,6,6,7,7,6,5,4,3,4,5,8,9,10,10,11,10,10,8,6,5,6,9,13,15,17,19,22,22,21,18,14,13,14,20,30,34,41,44,49,48,46,39,31,30,34,46,73,83,94,101,108,104,91,70,61,60,54,71,107,118,133,141,147,129,124,98,64,60,64,94,131,151,171,171,177,175
"Illinois : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,4,4,4,3,3,3,2,2,2,3,4,4,4,5,5,5,5,6,5,5,2,2,4,4,5,6,5,5,5,5,4,3,2,3,4,5,5,5,5,5,4,4,3,3,2,4,3,4,5,5,5,5,5,4,4,3,2,4,4,4,6,7,6,6,6,3,3,3,3,3,6,7,7,7,8,7,6,5,3,3,3,3,6,6,6,7,8,7,6,5,3,3,2,4,4,6,7,9,9,10,8,6,6,8,7,12,23,29,32,37,59,76,78,48,62,52,67,75,104,112,143,168,173,207,180,159,103,58,67,113,135,189,224,226,216,198
"Illinois : utility-scale photovoltaic","thousand megawatthours","ELEC.GEN.SPV-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,1,1,0,0,1,1,1,2,2,2,2,1,1,1,1,0,0,1,1,2,2,2,2,2,2,1,1,2,3,4,4,4,5,5,5,5,6,5,5,2,2,4,4,5,6,5,5,5,5,4,3,2,3,4,5,5,5,5,5,4,4,3,3,2,4,3,4,5,5,5,5,5,4,4,3,2,4,4,4,6,7,6,6,6,3,3,3,3,3,6,7,7,7,8,7,6,5,3,3,3,3,6,6,6,7,8,7,6,5,3,3,2,4,4,6,7,9,9,10,8,6,6,8,7,12,23,29,32,37,59,76,78,48,62,52,67,75,104,112,143,168,173,207,180,159,103,58,67,113,135,189,224,226,216,198
"Illinois : utility-scale thermal","thousand megawatthours","ELEC.GEN.STH-IL-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,1,1,2,2,2,2,2,2,1,1,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
