"Net generation for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=2,0,1&fuel=vvvvu&geo=008&sec=g&freq=M&start=200101&end=202308&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Sat Nov 25 2023 16:34:24 GMT-0500 (Eastern Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022","Jul 2022","Aug 2022","Sep 2022","Oct 2022","Nov 2022","Dec 2022","Jan 2023","Feb 2023","Mar 2023","Apr 2023","May 2023","Jun 2023","Jul 2023","Aug 2023"
"Connecticut : nuclear","thousand megawatthours","ELEC.GEN.NUC-CT-99.M",1366,621,643,1369,1342,1441,1465,1397,1435,1491,1373,1485,1477,1020,850,1160,1497,1421,1484,1292,750,1252,1454,1260,1448,1365,1088,1458,1510,1419,1497,1486,1443,1053,823,1490,1515,1417,1357,670,1198,1466,1501,1494,1456,1514,1436,1515,1518,1371,1513,615,1098,1464,1507,1498,1406,720,1459,1393,1519,1308,1518,1281,1517,1463,1502,1498,1454,959,1055,1513,1413,1365,1510,790,959,1455,1499,1493,1447,1497,1456,1501,1507,1408,1504,924,1032,1394,1463,1484,1440,941,771,1565,1569,1417,1561,1519,1567,1513,1087,1547,1502,1034,1131,1212,1403,1368,1560,919,948,1518,1562,1446,1507,1565,1425,1529,1573,1417,1572,927,1502,1438,1556,1499,1189,859,823,1572,1558,1456,1571,1518,1547,1513,1528,1287,1491,1016,1024,1569,1570,1418,1568,1007,998,1514,1554,1396,1501,1552,1435,1565,1548,1370,1565,985,915,1434,1456,1545,1493,958,1003,1569,1569,1416,1566,1387,1564,1512,1555,1548,1495,963,1278,1556,1396,1454,1554,871,1042,1157,1545,1466,1493,1542,1502,1554,1553,1405,1549,888,1440,1500,1540,1532,1488,975,1070,1558,1562,1408,1558,1504,1551,1500,1538,1528,1397,908,888,1540,1557,1407,1549,756,1035,1503,1538,1536,1486,1540,1500,1326,1556,1461,1560,985,912,1381,1544,1512,1493,664,1135,1512,1400,1413,1566,1513,1562,1262,1547,1528,1489,1037,1342,1559,1423,1409,1557,803,645,1385,1551,1547,1495,1558,1520,1572,1526,1361,1557,999,869,26,1443,1542
"Connecticut : conventional hydroelectric","thousand megawatthours","ELEC.GEN.HYC-CT-99.M",38,33,33,60,25,41,15,9,8,8,6,11,32,19,24,34,46,38,13,8,7,14,47,54,47,31,58,54,40,57,24,33,39,49,59,73,255,11,22,13,30,15,40,73,1,1,0,1,49,40,44,44,38,42,44,37,31,30,36,44,50,46,40,44,54,52,54,54,35,32,39,44,36,26,30,43,46,28,22,19,17,24,36,35,44,45,51,63,47,45,45,57,33,32,44,50,44,37,50,55,49,37,51,45,24,31,39,48,35,31,43,48,35,26,21,21,18,40,38,36,46,38,53,65,74,44,29,30,46,53,40,51,30,24,34,26,35,28,20,17,17,26,25,30,34,34,36,43,39,45,40,24,27,24,26,29,42,31,28,51,57,37,36,33,21,26,28,42,29,23,22,36,28,37,24,18,14,20,20,30,25,25,30,30,21,13,14,12,10,11,14,20,25,25,31,44,46,34,28,18,13,13,31,24,47,52,57,68,54,25,22,31,30,44,61,65,49,45,47,52,55,37,22,12,11,24,30,42,38,33,44,48,42,14,17,9,5,20,24,34,47,30,47,57,44,20,41,28,33,35,49,47,24,31,44,51,35,17,9,8,15,20,23,34,37,29,33,26,26,"NM",30,29
"Connecticut : other renewables","thousand megawatthours","ELEC.GEN.AOR-CT-99.M",75,77,96,92,72,71,72,72,69,69,70,73,67,59,73,67,71,70,73,71,66,66,68,71,62,60,67,67,67,64,70,65,66,66,65,66,55,57,64,67,67,65,64,64,64,67,63,61,57,49,57,65,68,66,69,65,63,66,64,65,58,60,63,64,67,66,67,66,62,64,65,60,65,55,63,59,66,63,59,62,61,57,60,60,55,52,61,64,65,65,64,60,58,64,61,63,60,59,60,65,69,63,65,65,63,63,64,63,55,55,63,66,68,64,61,65,59,59,60,63,47,36,51,59,61,58,58,59,53,59,58,61,53,50,60,56,60,58,59,57,54,51,55,52,51,45,56,56,59,55,54,58,51,54,56,56,64,51,68,53,73,64,57,67,61,65,75,71,65,54,66,53,71,67,71,72,72,69,65,79,80,69,79,64,76,75,78,79,80,65,74,74,73,57,60,66,69,72,79,76,70,61,83,76,66,65,70,65,67,77,84,80,74,66,66,95,61,66,77,71,83,80,81,84,81,66,76,74,81,72,92,84,87,93,90,91,82,80,79,78,83,68,94,84,93,97,93,87,93,75,90,79,75,81,99,96,106,83,87,77,68,64,53,49,60,61,69,70,92,82,91,82
"Connecticut : wind","thousand megawatthours","ELEC.GEN.WND-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"NM",1,1,1,1,1,1,0,0,0
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,3,3,2,2,2,2,3,4,4,4,5,5,5,4,3,2,2,2,3,8,9,11,11,10,8,6,6,5,28,7,9,12,13,13,15,18,15,14,9,8,6,11,13,19,18,25,24,24,22,20,14,12,10,14,10,27,20,30,30,25,26,27,21,21,13,15,21,35,42,48,47,51,45,38,33,22,16,19,26,38,39,52,45,47,41
"Connecticut : utility-scale photovoltaic","thousand megawatthours","ELEC.GEN.SPV-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,3,3,2,2,2,2,3,4,4,4,5,5,5,4,3,2,2,2,3,8,9,11,11,10,8,6,6,5,28,7,9,12,13,13,15,18,15,14,9,8,6,11,13,19,18,25,24,24,22,20,14,12,10,14,10,27,20,30,30,25,26,27,21,21,13,15,21,35,42,48,47,51,45,38,33,22,16,19,26,38,39,52,45,47,41
"Connecticut : utility-scale thermal","thousand megawatthours","ELEC.GEN.STH-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : geothermal","thousand megawatthours","ELEC.GEN.GEO-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Connecticut : biomass","thousand megawatthours","ELEC.GEN.BIO-CT-99.M",75,77,96,92,72,71,72,72,69,69,70,73,67,59,73,67,71,70,73,71,66,66,68,71,62,60,67,67,67,64,70,65,66,66,65,66,55,57,64,67,67,65,64,64,64,67,63,61,57,49,57,65,68,66,69,65,63,66,64,65,58,60,63,64,67,66,67,66,62,64,65,60,65,55,63,59,66,63,59,62,61,57,60,60,55,52,61,64,65,65,64,60,58,64,61,63,60,59,60,65,69,63,65,65,63,63,64,63,55,55,63,66,68,64,61,65,59,59,60,63,47,36,51,59,61,58,58,59,53,59,58,61,53,50,60,56,60,58,59,57,54,51,55,52,51,45,56,56,59,55,54,58,51,54,56,56,64,51,68,52,72,63,56,66,60,64,74,70,64,53,65,51,69,65,69,70,71,68,64,78,78,66,77,62,73,72,75,75,76,62,71,70,71,54,55,62,64,67,74,71,65,57,80,73,63,61,60,55,55,66,74,71,68,58,60,65,52,56,64,56,69,64,63,69,66,56,68,66,69,57,71,65,61,68,65,68,61,64,65,66,67,56,65,62,62,66,67,61,65,52,67,65,59,59,63,52,57,35,35,32,30,30,29,32,40,"NM",30,29,40,"NM","NM","NM"
"Connecticut : wood and wood-derived fuels","thousand megawatthours","ELEC.GEN.WWW-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,"--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,7,10,2,14,4,0,8,6,11,17,16,14,8,16,8,20,16,17,16,22,21,10,22,22,20,23,10,22,19,20,22,25,13,19,23,25,12,9,11,11,16,23,21,22,9,25,22,20,17,19,25,23,22,25,24,23,13,23,27,23,20,22,14,23,24,22,26,27,16,24,28,28,21,28,27,17,24,24,26,24,19,26,27,28,23,27,24,19,25,28,21,27,11,27,24,21,25,25,14,20,0,0,0,0,0,0,0,9,"NM",0,0,10,"NM","NM","NM"
"Connecticut : other biomass","thousand megawatthours","ELEC.GEN.WAS-CT-99.M",75,77,96,92,72,71,72,72,69,69,70,73,67,59,73,67,71,70,73,71,66,66,68,71,62,60,67,67,67,64,70,65,66,66,65,66,55,57,63,67,66,64,63,64,63,67,62,60,56,48,56,64,68,65,68,64,62,65,64,65,58,59,62,64,67,66,66,65,61,63,64,60,65,55,63,59,66,63,59,61,61,57,60,60,55,52,60,64,65,65,64,60,58,64,61,62,60,59,60,65,69,63,65,65,63,63,64,63,55,55,63,66,68,64,61,65,59,59,60,63,47,36,51,59,61,58,58,59,53,59,57,61,53,50,60,56,60,58,59,57,54,51,55,51,51,44,56,56,59,55,54,58,51,54,56,53,52,44,57,50,58,59,55,57,54,53,56,54,50,46,49,43,49,49,53,54,49,47,54,56,56,46,54,52,51,52,54,53,51,50,52,48,46,41,46,50,53,51,51,50,43,47,55,51,43,44,42,29,32,44,49,47,45,45,36,39,29,36,42,42,45,41,41,43,39,40,44,38,41,36,43,38,44,44,41,42,37,45,40,39,39,33,39,38,43,40,40,40,38,41,40,41,38,35,38,38,37,35,35,32,30,30,29,32,31,27,30,29,29,29,32,30
"Connecticut : hydro-electric pumped storage","thousand megawatthours","ELEC.GEN.HPS-CT-99.M",0,0,0,0,0,0,0,0,0,0,0,0,-2,0,-0,-5,0,-1,-1,-0,-0,-0,-0,0,0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-5,-2,-2,-2,-2,-0,-0,-0,-0,-1,2,-1,2,-1,-2,0,-1,-0,1,1,3,3,6,-2,-4,-3,-2,1,1,1,1,0,1,4,1,1,-0,1,-0,-1,-0,0,0,-0,3,6,2,-0,-5,-1,1,1,1,1,3,1,2,1,6,-1,-7,-0,1,1,0,0,0,0,0,2,5,-1,-10,-1,0,3,1,0,0,0,0,1,4,-2,-5,-0,2,0,1,0,1,0,3,3,2,0,-8,-0,1,0,1,0,0,0,0,0,3,1,-4,0,0,0,1,0,0,0,1,2,1,-6,-2,2,1,1,1,0,1,0,0,4,-0,-3,-3,1,1,0,0,2,1,1,2,2,10,-2,-6,-2,2,0,0,0,0,-1,-1,2,5,-0,-7,1,1,0,0,1,0,0,-2,2,9,-1,-9,-4,1,1,0,1,1,0,-0,0,8,-2,-7,1,1,0,1,0,0,-0,-2,2,3,4,-10,-1,0,1,0,1
"Connecticut : other","thousand megawatthours","ELEC.GEN.OTH-CT-99.M",75,71,88,83,72,67,71,69,67,66,69,71,67,59,71,66,67,69,70,69,65,66,67,68,64,57,64,67,71,66,72,66,65,65,68,68,57,59,64,67,66,65,64,64,64,67,63,62,56,49,56,63,67,64,67,64,62,64,63,64,58,58,62,63,58,64,65,65,62,64,57,61,64,55,63,60,64,63,58,61,61,59,56,63,57,51,59,60,62,64,63,59,53,60,61,61,57,56,56,52,65,57,65,64,60,59,59,62,57,56,53,58,68,65,63,65,58,56,58,60,57,41,56,65,60,61,67,67,58,55,53,65,62,58,72,62,68,63,67,64,55,61,63,62,56,52,62,66,69,65,64,64,59,55,52,49,48,41,53,47,54,54,52,53,50,49,52,50,47,42,45,40,46,46,49,50,45,44,50,52,52,43,50,48,47,49,51,50,48,46,49,45,43,38,43,47,49,47,48,47,40,45,51,48,40,41,39,27,30,41,46,44,42,43,34,36,35,43,50,51,55,49,50,52,48,48,52,46,50,43,52,46,53,53,49,50,45,54,48,47,47,40,47,46,52,49,48,48,46,50,49,49,45,42,45,46,44,42,42,39,36,36,35,38,37,33,36,35,35,35,38,36
"Connecticut : all solar","thousand megawatthours","ELEC.GEN.TSN-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",7,8,11,12,13,14,15,15,14,12,9,10,10,11,16,19,21,21,25,24,22,18,14,14,17,20,28,31,34,36,39,38,33,27,21,21,21,27,37,42,45,48,52,49,42,34,25,23,29,33,51,56,63,63,68,61,49,43,32,57,39,46,63,69,75,78,87,80,71,52,41,37,49,60,83,86,106,104,108,99,88,67,52,47,59,58,107,106,125,128,119,112,103,81,72,58,68,86,127,146,161,161,172,156,132,109,81,71,77,102,142,154,203,173,180,172
"Connecticut : small-scale solar photovoltaic","thousand megawatthours","ELEC.GEN.DPV-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",6,7,10,11,12,12,14,13,12,10,8,9,9,10,15,17,20,19,23,22,20,17,13,13,16,19,26,29,32,34,36,35,30,25,19,19,20,25,34,38,42,44,47,44,38,31,23,22,27,30,42,47,53,53,59,53,43,37,27,29,32,37,51,56,61,64,70,65,57,43,34,30,38,47,64,68,81,80,84,77,67,53,40,37,45,48,81,86,95,97,94,87,76,60,51,45,53,65,92,104,113,113,121,112,95,76,59,55,57,77,105,115,151,129,133,130
"Connecticut : all utility-scale solar","thousand megawatthours","ELEC.GEN.SUN-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,3,3,2,2,2,2,3,4,4,4,5,5,5,4,3,2,2,2,3,8,9,11,11,10,8,6,6,5,28,7,9,12,13,13,15,18,15,14,9,8,6,11,13,19,18,25,24,24,22,20,14,12,10,14,10,27,20,30,30,25,26,27,21,21,13,15,21,35,42,48,47,51,45,38,33,22,16,19,26,38,39,52,45,47,41
"Connecticut : utility-scale photovoltaic","thousand megawatthours","ELEC.GEN.SPV-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,3,3,3,2,2,2,2,3,4,4,4,5,5,5,4,3,2,2,2,3,8,9,11,11,10,8,6,6,5,28,7,9,12,13,13,15,18,15,14,9,8,6,11,13,19,18,25,24,24,22,20,14,12,10,14,10,27,20,30,30,25,26,27,21,21,13,15,21,35,42,48,47,51,45,38,33,22,16,19,26,38,39,52,45,47,41
"Connecticut : utility-scale thermal","thousand megawatthours","ELEC.GEN.STH-CT-99.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
